Symbol,Expiry,Strike,CE_LTP,PE_LTP,CE_OI,PE_OI
BANKNIFTY,30-Sep-25,59600,9,0,20,0
BANKNIFTY,28-Oct-25,59600,0,0,3,0
BANKNIFTY,30-Sep-25,59700,8.7,0,115,0
BANKNIFTY,28-Oct-25,59700,0,0,0,0
BANKNIFTY,30-Sep-25,59800,7.8,0,11,0
BANKNIFTY,28-Oct-25,59800,0,0,0,0
BANKNIFTY,30-Sep-25,59900,9.7,0,158,0
BANKNIFTY,28-Oct-25,59900,0,0,0,0
BANKNIFTY,30-Sep-25,60000,8,5570,10505,2584
BANKNIFTY,28-Oct-25,60000,26.8,0,838,45
BANKNIFTY,25-Nov-25,60000,0,0,0,0
BANKNIFTY,31-Mar-26,60000,629,0,239,2
BANKNIFTY,30-Sep-25,60100,7.8,0,12,0
BANKNIFTY,28-Oct-25,60100,0,0,0,0
BANKNIFTY,30-Sep-25,60200,7.55,0,13,51
BANKNIFTY,28-Oct-25,60200,0,0,0,0
BANKNIFTY,30-Sep-25,60300,7.5,0,36,3
BANKNIFTY,28-Oct-25,60300,0,0,0,0
BANKNIFTY,30-Sep-25,60400,8.15,0,83,0
BANKNIFTY,28-Oct-25,60400,0,0,0,0
BANKNIFTY,30-Sep-25,60500,6.95,0,259,13
BANKNIFTY,28-Oct-25,60500,0,0,0,0
BANKNIFTY,25-Nov-25,60500,0,0,0,0
BANKNIFTY,30-Sep-25,60600,7.75,0,51,0
BANKNIFTY,28-Oct-25,60600,0,0,0,0
BANKNIFTY,30-Sep-25,60700,6.8,0,7,1
BANKNIFTY,28-Oct-25,60700,0,0,0,0
BANKNIFTY,30-Sep-25,60800,7.15,0,5,0
BANKNIFTY,28-Oct-25,60800,0,0,0,0
BANKNIFTY,30-Sep-25,60900,6.65,0,21,0
BANKNIFTY,28-Oct-25,60900,0,0,0,0
BANKNIFTY,30-Sep-25,61000,6.6,6676.8,3289,1009
BANKNIFTY,28-Oct-25,61000,0,0,0,3
BANKNIFTY,25-Nov-25,61000,0,0,0,0
BANKNIFTY,30-Sep-25,61100,6.65,0,10,0
BANKNIFTY,30-Sep-25,61200,6.15,0,4,0
BANKNIFTY,30-Sep-25,61300,0,0,2,0
BANKNIFTY,30-Sep-25,61400,5.65,0,61,1
BANKNIFTY,30-Sep-25,61500,6.75,0,212,4
BANKNIFTY,28-Oct-25,61500,0,0,0,0
BANKNIFTY,25-Nov-25,61500,0,0,1,0
BANKNIFTY,30-Sep-25,61600,6.35,0,23,0
BANKNIFTY,30-Sep-25,61700,5.85,0,21,0
BANKNIFTY,30-Sep-25,61800,6.25,0,40,0
BANKNIFTY,30-Sep-25,61900,6.05,0,8,0
BANKNIFTY,30-Sep-25,62000,6.8,7540,1708,546
BANKNIFTY,28-Oct-25,62000,0,0,0,0
BANKNIFTY,30-Sep-25,62100,5.6,0,8,0
BANKNIFTY,30-Sep-25,62200,6.55,0,11,0
BANKNIFTY,30-Sep-25,62300,5.4,0,52,0
BANKNIFTY,30-Sep-25,62400,5.6,0,24,0
BANKNIFTY,30-Sep-25,62500,5.55,0,144,2
BANKNIFTY,28-Oct-25,62500,19.4,0,10,0
BANKNIFTY,30-Sep-25,63000,5.5,0,2158,260
BANKNIFTY,28-Oct-25,63000,13.95,0,227,0
BANKNIFTY,30-Sep-25,63500,5.25,0,492,0
BANKNIFTY,28-Oct-25,63500,12.3,0,189,0
BANKNIFTY,30-Sep-25,64000,4.75,9520,453,402
BANKNIFTY,30-Sep-25,64500,4.45,10150,299,43
BANKNIFTY,30-Sep-25,65000,3.8,10510,4937,282
